epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,685.918,2.15234,6.76986,1.20526,0.64982,0.07684,0.05078,0.02709,1.98925,3.12076,1.1492,5.46159e-05,5.46159e-05,5.46159e-05
2,1372.08,1.89451,4.53903,1.09212,0.43007,0.13941,0.10108,0.05537,1.82749,2.65774,1.11404,0.000105676,0.000105676,0.000105676
3,2062.58,1.80884,3.53849,1.08114,0.47051,0.16148,0.1232,0.06795,1.77386,2.54653,1.0881,0.000153129,0.000153129,0.000153129
4,2752.93,1.75919,3.00481,1.06541,0.52335,0.16957,0.14325,0.08055,1.75449,2.38697,1.09964,0.000147764,0.000147764,0.000147764
5,3441.67,1.7155,2.69706,1.04816,0.47574,0.20364,0.15881,0.08956,1.74911,2.3464,1.10625,0.000142352,0.000142352,0.000142352
6,4131.56,1.68209,2.51651,1.04111,0.54183,0.20365,0.17046,0.09911,1.71653,2.28286,1.0879,0.00013694,0.00013694,0.00013694
7,4817.98,1.6638,2.42137,1.03865,0.52857,0.20782,0.18084,0.10669,1.68489,2.26425,1.07652,0.000131528,0.000131528,0.000131528
8,5502.55,1.65756,2.35914,1.03633,0.56661,0.22083,0.19093,0.11085,1.68351,2.22915,1.07794,0.000126116,0.000126116,0.000126116
9,6186.82,1.63132,2.28954,1.02852,0.60471,0.22465,0.2037,0.11952,1.69481,2.20956,1.07861,0.000120704,0.000120704,0.000120704
10,6875.25,1.62452,2.23824,1.02552,0.51376,0.23719,0.20994,0.12354,1.6951,2.21962,1.07676,0.000115292,0.000115292,0.000115292
11,7567.8,1.60317,2.18555,1.01753,0.57405,0.23838,0.22816,0.13688,1.67434,2.17792,1.07543,0.00010988,0.00010988,0.00010988
12,8255,1.59353,2.14066,1.01212,0.56923,0.25891,0.23467,0.13988,1.67217,2.14144,1.07696,0.000104468,0.000104468,0.000104468
13,8945.42,1.59184,2.10568,1.01641,0.5996,0.25172,0.24152,0.14385,1.65183,2.15329,1.05936,9.9056e-05,9.9056e-05,9.9056e-05
14,9630.75,1.56854,2.07228,1.00913,0.66093,0.25187,0.2526,0.15206,1.6689,2.10141,1.07251,9.3644e-05,9.3644e-05,9.3644e-05
15,10318.1,1.57933,2.06609,1.01211,0.62278,0.26344,0.25936,0.1571,1.64943,2.11315,1.06266,8.8232e-05,8.8232e-05,8.8232e-05
16,11003.6,1.56954,2.03369,1.01081,0.64723,0.26118,0.25609,0.15549,1.65397,2.0891,1.0704,8.282e-05,8.282e-05,8.282e-05
17,11689.6,1.55694,2.01224,1.00121,0.62992,0.26652,0.26924,0.16343,1.64115,2.06837,1.06398,7.7408e-05,7.7408e-05,7.7408e-05
18,12372,1.5392,1.96635,0.99463,0.66706,0.25376,0.26697,0.16315,1.63816,2.06791,1.06385,7.1996e-05,7.1996e-05,7.1996e-05
19,13055.7,1.53765,1.96176,0.99667,0.55742,0.27484,0.27838,0.17048,1.6317,2.05302,1.06148,6.6584e-05,6.6584e-05,6.6584e-05
20,13745.5,1.52879,1.94019,0.99339,0.64169,0.27516,0.28728,0.17471,1.6403,2.03208,1.06627,6.1172e-05,6.1172e-05,6.1172e-05
21,14411.6,1.34016,1.56852,0.96032,0.72143,0.25018,0.28844,0.17747,1.62981,2.03642,1.05908,5.576e-05,5.576e-05,5.576e-05
22,15074.5,1.32501,1.53845,0.95702,0.65173,0.28615,0.29019,0.17991,1.62811,2.02095,1.05095,5.0348e-05,5.0348e-05,5.0348e-05
23,15733.2,1.31207,1.51975,0.95223,0.6419,0.28129,0.29265,0.18094,1.6335,2.00426,1.05734,4.4936e-05,4.4936e-05,4.4936e-05
24,16394.7,1.29659,1.49808,0.94848,0.63009,0.27944,0.3007,0.18651,1.6259,2.00359,1.05464,3.9524e-05,3.9524e-05,3.9524e-05
25,17054.5,1.29605,1.47574,0.9492,0.58835,0.29011,0.3054,0.18867,1.63085,1.98886,1.05649,3.4112e-05,3.4112e-05,3.4112e-05
26,17705.6,1.2911,1.45596,0.94569,0.65283,0.28644,0.30568,0.18937,1.62681,1.97625,1.05747,2.87e-05,2.87e-05,2.87e-05
27,18357.1,1.28141,1.45867,0.94082,0.65602,0.28137,0.30952,0.19438,1.62232,1.96879,1.05839,2.3288e-05,2.3288e-05,2.3288e-05
28,19010.3,1.2682,1.42684,0.93932,0.6186,0.29333,0.31066,0.1942,1.62494,1.96339,1.0578,1.7876e-05,1.7876e-05,1.7876e-05
29,19662.3,1.25857,1.40445,0.93745,0.62101,0.29522,0.31163,0.19491,1.6249,1.95664,1.05727,1.2464e-05,1.2464e-05,1.2464e-05
30,20315.5,1.26063,1.40508,0.93722,0.61064,0.3037,0.31306,0.19628,1.61987,1.95451,1.05539,7.052e-06,7.052e-06,7.052e-06
